Timestamp,Applicant Name,Score from 1 to 5 (1 is lowest)
2023-02-02 20:32:29.327,20A,4
2023-02-02 20:32:29.931,20A,5
2023-02-02 20:32:30.063,20A,4
2023-02-02 20:32:30.257,20A,3
2023-02-02 20:32:31.352,20A,5
2023-02-02 20:32:31.530,20A,4
2023-02-02 20:32:32.029,20A,4
2023-02-02 20:32:32.366,20A,5
2023-02-02 20:32:32.857,20A,4
2023-02-02 20:32:35.525,20A,5
2023-02-02 20:32:44.195,20A,4
2023-02-02 20:32:48.103,20A,4
2023-02-02 20:32:51.898,20A,4
2023-02-02 20:32:53.803,20A,4
2023-02-02 20:32:55.372,20A,4
2023-02-02 20:32:57.864,20A,5
2023-02-02 20:33:01.922,20A,3
2023-02-02 20:33:03.581,20A,4
2023-02-02 20:33:06.952,20A,5
2023-02-02 20:33:07.037,20A,4
2023-02-02 20:33:07.138,20A,2
2023-02-02 20:33:11.164,20A,4
2023-02-02 20:33:21.622,20A,3
2023-02-02 20:33:27.798,20A,4
2023-02-02 20:33:42.234,20A,5
2023-02-02 20:36:26.027,20A,5
2023-02-02 20:36:33.753,20A,5
2023-02-02 19:11:25.903,33A,3
2023-02-02 19:11:28.758,33A,4
2023-02-02 19:11:31.509,33A,2
2023-02-02 19:11:31.990,33A,3
2023-02-02 19:11:35.563,33A,3
2023-02-02 19:11:37.251,33A,2
2023-02-02 19:11:38.425,33A,3
2023-02-02 19:11:43.503,33A,3
2023-02-02 19:11:46.565,33A,4
2023-02-02 19:14:21.689,33A,4
2023-02-02 19:14:56.072,33A,4
2023-02-02 19:14:59.782,33A,5
2023-02-02 19:14:59.946,33A,3
2023-02-02 19:15:03.171,33A,4
2023-02-02 19:15:06.105,33A,3
2023-02-02 19:15:07.656,33A,4
2023-02-02 19:15:10.728,33A,4
2023-02-02 19:15:11.712,33A,3
2023-02-02 19:15:13.922,33A,4
2023-02-02 19:15:14.772,33A,3
2023-02-02 19:15:23.548,33A,4
2023-02-02 19:15:25.897,33A,3
2023-02-02 19:15:28.172,33A,4
2023-02-02 19:15:30.848,33A,3
2023-02-02 19:15:37.286,33A,4
2023-02-02 19:15:40.461,33A,5
2023-02-02 19:15:42.718,33A,3
2023-02-02 19:15:44.367,33A,3
2023-02-02 19:16:02.555,33A,4
2023-02-02 19:16:09.658,33A,4
2023-02-02 19:16:17.360,33A,4
2023-02-02 23:19:00.328,31A,5
2023-02-02 23:19:05.536,31A,5
2023-02-02 23:19:30.791,31A,5
2023-02-02 23:19:38.667,31A,4
2023-02-02 23:20:08.181,31A,4
2023-02-02 23:20:56.399,31A,3
2023-02-02 23:20:56.617,31A,4
2023-02-02 23:20:56.900,31A,3
2023-02-02 23:20:57.189,31A,5
2023-02-02 23:20:57.664,31A,4
2023-02-02 23:20:58.464,31A,3
2023-02-02 23:21:01.204,31A,3
2023-02-02 23:21:10.317,31A,3
2023-02-02 23:21:16.000,31A,4
2023-02-02 23:21:16.605,31A,4
2023-02-02 23:21:17.713,31A,3
2023-02-02 23:21:18.131,31A,4
2023-02-02 23:21:18.737,31A,5
2023-02-02 23:21:21.488,31A,5
2023-02-02 23:21:22.572,31A,3
2023-02-02 23:21:24.224,31A,5
2023-02-02 23:21:24.921,31A,4
2023-02-02 23:21:27.554,31A,3
2023-02-02 23:21:52.506,31A,5
2023-02-02 23:21:55.439,31A,5
2023-02-02 23:22:21.108,31A,4
2023-02-02 23:22:41.008,31A,3
2023-02-02 23:35:39.137,1A,2
2023-02-02 23:38:11.977,1A,1
2023-02-02 23:38:15.170,1A,2
2023-02-02 23:38:23.647,1A,2
2023-02-02 23:38:23.658,1A,1
2023-02-02 23:38:29.425,1A,1
2023-02-02 23:38:29.923,1A,2
2023-02-02 23:38:32.846,1A,2
2023-02-02 23:38:34.092,1A,1
2023-02-02 23:38:35.562,1A,2
2023-02-02 23:38:41.886,1A,1
2023-02-02 23:38:42.658,1A,1
2023-02-02 23:38:42.847,1A,1
2023-02-02 23:38:44.297,1A,3
2023-02-02 23:38:46.496,1A,1
2023-02-02 23:38:46.587,1A,1
2023-02-02 23:38:48.423,1A,1
2023-02-02 23:38:48.444,1A,1
2023-02-02 23:38:50.725,1A,2
2023-02-02 23:38:51.156,1A,1
2023-02-02 23:38:53.853,1A,1
2023-02-02 23:38:54.004,1A,1
2023-02-02 23:38:59.951,1A,2
2023-02-02 23:39:05.944,1A,1
2023-02-02 23:39:06.774,1A,1
2023-02-02 23:44:35.139,1A,4
2023-02-02 22:14:24.745,27A,3
2023-02-02 22:14:40.854,27A,3
2023-02-02 22:15:41.887,27A,5
2023-02-02 22:17:18.379,27A,4
2023-02-02 22:17:19.835,27A,2
2023-02-02 22:17:19.993,27A,4
2023-02-02 22:17:25.282,27A,4
2023-02-02 22:17:25.574,27A,4
2023-02-02 22:17:26.216,27A,4
2023-02-02 22:17:26.346,27A,2
2023-02-02 22:17:26.560,27A,4
2023-02-02 22:17:26.716,27A,4
2023-02-02 22:17:27.059,27A,4
2023-02-02 22:17:27.290,27A,3
2023-02-02 22:17:27.737,27A,3
2023-02-02 22:17:29.111,27A,2
2023-02-02 22:17:32.028,27A,4
2023-02-02 22:17:33.674,27A,4
2023-02-02 22:17:33.774,27A,5
2023-02-02 22:17:35.232,27A,4
2023-02-02 22:17:36.471,27A,4
2023-02-02 22:17:37.929,27A,4
2023-02-02 22:17:39.512,27A,4
2023-02-02 22:17:40.706,27A,4
2023-02-02 22:17:42.677,27A,4
2023-02-02 22:17:46.683,27A,3
2023-02-02 22:17:50.106,27A,5
2023-02-02 22:17:52.586,27A,5
2023-02-02 22:17:57.002,27A,5
2023-02-02 22:18:13.585,27A,4
2023-02-02 21:01:56.404,21A,2
2023-02-02 21:06:42.329,21A,4
2023-02-02 21:06:42.873,21A,4
2023-02-02 21:06:43.345,21A,3
2023-02-02 21:06:46.126,21A,3
2023-02-02 21:06:50.368,21A,5
2023-02-02 21:06:51.165,21A,1
2023-02-02 21:06:52.233,21A,3
2023-02-02 21:07:20.526,21A,3
2023-02-02 21:08:05.184,21A,3
2023-02-02 21:08:05.541,21A,4
2023-02-02 21:08:05.738,21A,4
2023-02-02 21:08:06.121,21A,4
2023-02-02 21:08:10.145,21A,3
2023-02-02 21:08:10.245,21A,4
2023-02-02 21:08:12.079,21A,3
2023-02-02 21:08:16.280,21A,2
2023-02-02 21:08:19.072,21A,3
2023-02-02 21:08:19.588,21A,4
2023-02-02 21:08:20.085,21A,4
2023-02-02 21:08:20.623,21A,5
2023-02-02 21:08:21.204,21A,4
2023-02-02 21:08:21.728,21A,3
2023-02-02 21:08:22.671,21A,2
2023-02-02 21:08:22.797,21A,4
2023-02-02 21:08:24.043,21A,5
2023-02-02 21:08:25.147,21A,2
2023-02-02 21:08:25.429,21A,5
2023-02-02 21:08:27.535,21A,4
2023-02-02 21:08:27.996,21A,5
2023-02-02 21:08:29.612,21A,4
2023-02-02 21:08:36.310,21A,5
2023-02-02 22:46:12.458,30A,4
2023-02-02 22:46:21.533,30A,5
2023-02-02 22:47:09.661,30A,5
2023-02-02 22:47:15.470,30A,4
2023-02-02 22:47:22.168,30A,5
2023-02-02 22:47:36.911,30A,5
2023-02-02 22:47:39.030,30A,5
2023-02-02 22:47:48.865,30A,4
2023-02-02 22:47:52.081,30A,5
2023-02-02 22:48:01.813,30A,5
2023-02-02 22:48:28.016,30A,5
2023-02-02 22:48:29.933,30A,4
2023-02-02 22:48:29.951,30A,5
2023-02-02 22:48:37.912,30A,4
2023-02-02 22:48:40.445,30A,5
2023-02-02 22:48:40.418,30A,4
2023-02-02 22:48:43.309,30A,5
2023-02-02 22:48:43.344,30A,5
2023-02-02 22:48:43.682,30A,5
2023-02-02 22:48:45.310,30A,5
2023-02-02 22:48:45.696,30A,4
2023-02-02 22:48:46.654,30A,4
2023-02-02 22:48:46.855,30A,5
2023-02-02 22:48:47.753,30A,5
2023-02-02 22:48:52.653,30A,5
2023-02-02 22:48:53.795,30A,5
2023-02-02 23:15:19.396,30A,5
2023-02-02 23:18:17.299,30A,4
2023-02-02 22:35:46.309,29A,3
2023-02-02 22:38:29.853,29A,2
2023-02-02 22:38:38.720,29A,3
2023-02-02 22:38:41.754,29A,5
2023-02-02 22:38:42.150,29A,5
2023-02-02 22:38:42.046,29A,4
2023-02-02 22:38:45.527,29A,3
2023-02-02 22:38:47.011,29A,4
2023-02-02 22:38:49.561,29A,4
2023-02-02 22:38:52.230,29A,5
2023-02-02 22:38:56.991,29A,4
2023-02-02 22:38:58.525,29A,5
2023-02-02 22:38:58.919,29A,5
2023-02-02 22:39:01.816,29A,4
2023-02-02 22:39:02.867,29A,3
2023-02-02 22:39:03.010,29A,5
2023-02-02 22:39:05.090,29A,4
2023-02-02 22:39:06.568,29A,5
2023-02-02 22:39:07.455,29A,4
2023-02-02 22:39:08.616,29A,4
2023-02-02 22:39:10.007,29A,5
2023-02-02 22:39:11.647,29A,4
2023-02-02 22:39:13.194,29A,4
2023-02-02 22:39:15.333,29A,4
2023-02-02 22:39:14.241,29A,5
2023-02-02 22:40:19.786,29A,4
2023-02-02 22:40:29.809,29A,4
2023-02-02 21:59:20.211,25A,2
2023-02-02 21:59:28.145,25A,2
2023-02-02 21:59:28.809,25A,3
2023-02-02 21:59:28.933,25A,2
2023-02-02 21:59:31.532,25A,3
2023-02-02 21:59:32.978,25A,3
2023-02-02 21:59:33.721,25A,3
2023-02-02 21:59:34.531,25A,4
2023-02-02 21:59:34.577,25A,3
2023-02-02 21:59:35.497,25A,4
2023-02-02 21:59:36.139,25A,3
2023-02-02 21:59:36.734,25A,4
2023-02-02 21:59:37.401,25A,2
2023-02-02 21:59:39.080,25A,3
2023-02-02 21:59:39.638,25A,3
2023-02-02 21:59:39.968,25A,3
2023-02-02 21:59:40.057,25A,3
2023-02-02 21:59:43.976,25A,3
2023-02-02 21:59:44.241,25A,2
2023-02-02 21:59:45.439,25A,3
2023-02-02 21:59:48.098,25A,5
2023-02-02 21:59:48.641,25A,4
2023-02-02 21:59:52.739,25A,4
2023-02-02 21:59:54.605,25A,3
2023-02-02 21:59:56.389,25A,4
2023-02-02 21:59:57.671,25A,4
2023-02-02 22:00:00.321,25A,4
2023-02-02 22:00:37.986,25A,3
2023-02-02 22:03:53.263,25A,3
2023-02-02 22:04:24.340,25A,2
2023-02-02 22:05:45.802,26A,3
2023-02-02 22:08:22.889,26A,3
2023-02-02 22:08:28.263,26A,4
2023-02-02 22:08:29.679,26A,4
2023-02-02 22:08:30.768,26A,4
2023-02-02 22:08:32.270,26A,4
2023-02-02 22:08:33.159,26A,2
2023-02-02 22:08:36.235,26A,3
2023-02-02 22:08:36.774,26A,2
2023-02-02 22:08:36.830,26A,2
2023-02-02 22:08:38.365,26A,3
2023-02-02 22:08:38.514,26A,3
2023-02-02 22:08:39.382,26A,3
2023-02-02 22:08:43.476,26A,4
2023-02-02 22:08:44.922,26A,4
2023-02-02 22:08:47.930,26A,3
2023-02-02 22:08:49.217,26A,3
2023-02-02 22:08:54.016,26A,3
2023-02-02 22:08:57.855,26A,3
2023-02-02 22:08:59.571,26A,4
2023-02-02 22:09:00.793,26A,4
2023-02-02 22:09:01.146,26A,4
2023-02-02 22:09:01.181,26A,4
2023-02-02 22:09:01.297,26A,4
2023-02-02 22:09:02.693,26A,4
2023-02-02 22:09:07.503,26A,3
2023-02-02 22:09:10.994,26A,3
2023-02-02 22:09:13.535,26A,2
2023-02-02 21:20:35.681,22A,3
2023-02-02 22:27:26.879,28A,4
2023-02-02 22:27:28.967,28A,4
2023-02-02 22:28:55.695,28A,5
2023-02-02 22:29:11.149,28A,4
2023-02-02 22:29:17.909,28A,4
2023-02-02 22:29:19.043,28A,3
2023-02-02 22:29:22.403,28A,5
2023-02-02 22:29:23.591,28A,4
2023-02-02 22:29:24.188,28A,5
2023-02-02 22:29:27.628,28A,4
2023-02-02 22:29:28.421,28A,4
2023-02-02 22:29:31.900,28A,4
2023-02-02 22:29:32.312,28A,4
2023-02-02 22:29:34.152,28A,4
2023-02-02 22:29:34.880,28A,5
2023-02-02 22:29:41.187,28A,5
2023-02-02 22:29:41.732,28A,3
2023-02-02 22:29:42.121,28A,3
2023-02-02 22:29:43.429,28A,5
2023-02-02 22:29:51.515,28A,4
2023-02-02 22:29:51.580,28A,4
2023-02-02 22:29:51.599,28A,5
2023-02-02 22:29:52.268,28A,4
2023-02-02 22:29:53.806,28A,4
