Applicant Name,Case Interview Score,Score from 1 to 5 (1 is lowest)
22A,3.33,3.0
23A,3.96,2.0
23A,3.96,1.0
23A,3.96,3.0
23A,3.96,2.0
23A,3.96,2.0
23A,3.96,1.0
23A,3.96,3.0
23A,3.96,3.0
23A,3.96,2.0
23A,3.96,2.0
23A,3.96,1.0
23A,3.96,3.0
23A,3.96,3.0
23A,3.96,4.0
23A,3.96,2.0
23A,3.96,3.0
23A,3.96,1.0
23A,3.96,2.0
23A,3.96,2.0
23A,3.96,1.0
23A,3.96,2.0
23A,3.96,1.0
23A,3.96,2.0
23A,3.96,3.0
23A,3.96,2.0
23A,3.96,4.0
23A,3.96,2.0
23A,3.96,3.0
23A,3.96,3.0
24A,4.17,5.0
24A,4.17,5.0
24A,4.17,4.0
24A,4.17,3.0
24A,4.17,4.0
24A,4.17,4.0
24A,4.17,5.0
24A,4.17,4.0
24A,4.17,4.0
24A,4.17,4.0
24A,4.17,4.0
24A,4.17,4.0
24A,4.17,5.0
24A,4.17,4.0
24A,4.17,5.0
24A,4.17,3.0
24A,4.17,4.0
24A,4.17,4.0
24A,4.17,4.0
24A,4.17,4.0
24A,4.17,4.0
24A,4.17,4.0
24A,4.17,4.0
24A,4.17,5.0
24A,4.17,4.0
24A,4.17,5.0
24A,4.17,4.0
24A,4.17,5.0
32A,4.38,4.0
32A,4.38,3.0
32A,4.38,4.0
32A,4.38,2.0
32A,4.38,4.0
32A,4.38,3.0
32A,4.38,3.0
32A,4.38,3.0
32A,4.38,3.0
32A,4.38,4.0
32A,4.38,3.0
32A,4.38,4.0
32A,4.38,4.0
32A,4.38,5.0
32A,4.38,3.0
32A,4.38,2.0
32A,4.38,4.0
32A,4.38,2.0
32A,4.38,3.0
32A,4.38,3.0
32A,4.38,3.0
32A,4.38,3.0
32A,4.38,3.0
32A,4.38,3.0
32A,4.38,3.0
32A,4.38,4.0
32A,4.38,5.0
32A,4.38,4.0
4A,2.5,1.0
4A,2.5,3.0
4A,2.5,2.0
4A,2.5,2.0
4A,2.5,4.0
4A,2.5,2.0
4A,2.5,2.0
4A,2.5,2.0
4A,2.5,5.0
4A,2.5,4.0
