,raceId,year,round,circuitId,name,date,time,url,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,sprint_date,sprint_time,alt,fastestLapSpeed
9976,407,1986,4,6,Monaco Grand Prix,1986-05-11,\N,http://en.wikipedia.org/wiki/1986_Monaco_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,7.0,
9977,407,1986,4,6,Monaco Grand Prix,1986-05-11,\N,http://en.wikipedia.org/wiki/1986_Monaco_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,7.0,
9978,407,1986,4,6,Monaco Grand Prix,1986-05-11,\N,http://en.wikipedia.org/wiki/1986_Monaco_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,7.0,
9979,407,1986,4,6,Monaco Grand Prix,1986-05-11,\N,http://en.wikipedia.org/wiki/1986_Monaco_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,7.0,
9980,407,1986,4,6,Monaco Grand Prix,1986-05-11,\N,http://en.wikipedia.org/wiki/1986_Monaco_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,7.0,
9981,407,1986,4,6,Monaco Grand Prix,1986-05-11,\N,http://en.wikipedia.org/wiki/1986_Monaco_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,7.0,
9982,407,1986,4,6,Monaco Grand Prix,1986-05-11,\N,http://en.wikipedia.org/wiki/1986_Monaco_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,7.0,
9983,407,1986,4,6,Monaco Grand Prix,1986-05-11,\N,http://en.wikipedia.org/wiki/1986_Monaco_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,7.0,
9984,408,1986,5,13,Belgian Grand Prix,1986-05-25,\N,http://en.wikipedia.org/wiki/1986_Belgian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,401.0,
9985,408,1986,5,13,Belgian Grand Prix,1986-05-25,\N,http://en.wikipedia.org/wiki/1986_Belgian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,401.0,
9986,408,1986,5,13,Belgian Grand Prix,1986-05-25,\N,http://en.wikipedia.org/wiki/1986_Belgian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,401.0,
9987,408,1986,5,13,Belgian Grand Prix,1986-05-25,\N,http://en.wikipedia.org/wiki/1986_Belgian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,401.0,
9988,408,1986,5,13,Belgian Grand Prix,1986-05-25,\N,http://en.wikipedia.org/wiki/1986_Belgian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,401.0,
9989,408,1986,5,13,Belgian Grand Prix,1986-05-25,\N,http://en.wikipedia.org/wiki/1986_Belgian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,401.0,
9990,408,1986,5,13,Belgian Grand Prix,1986-05-25,\N,http://en.wikipedia.org/wiki/1986_Belgian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,401.0,
9991,408,1986,5,13,Belgian Grand Prix,1986-05-25,\N,http://en.wikipedia.org/wiki/1986_Belgian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,401.0,
9992,408,1986,5,13,Belgian Grand Prix,1986-05-25,\N,http://en.wikipedia.org/wiki/1986_Belgian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,401.0,
9993,408,1986,5,13,Belgian Grand Prix,1986-05-25,\N,http://en.wikipedia.org/wiki/1986_Belgian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,401.0,
9994,408,1986,5,13,Belgian Grand Prix,1986-05-25,\N,http://en.wikipedia.org/wiki/1986_Belgian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,401.0,
9995,408,1986,5,13,Belgian Grand Prix,1986-05-25,\N,http://en.wikipedia.org/wiki/1986_Belgian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,401.0,
9996,408,1986,5,13,Belgian Grand Prix,1986-05-25,\N,http://en.wikipedia.org/wiki/1986_Belgian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,401.0,
